County Code,District Code,School Code,County Name,District Name,School Name,Grade Span,StudentDeviceRation,InternetSpeed,RecommendedInternetSpeed,MetRecommendedSpeed,ConnectivityBetweenSchools,RecommendedConnectivity,MetRecommendedConnectivity,ValidScores_Math,ParticipationPercent_Math,SchoolPerformance_Math,DistrictPerformance_Math,StatePerformance_Math,ProfRateFederalAccountability_Math,AnnualTarget_Math,MetTarget_Math,ValidScores_ELA,ParticipationPercent_ELA,SchoolPerformance_ELA,DistrictPerformance_ELA,StatePerformance_ELA,ProfRateFederalAccountability_ELA,AnnualTarget_ELA,MetTarget_ELA,Percent_white,Percent_blck,Percent_hisp,Percent_asian,Percent_econdis
3,1345,70,BERGEN,ELMWOOD PARK,Gantner Avenue School,KG-05,1:0.3,19.3,100 kbps,No,N,Fiber,No,162,92.2,45.60,36.90,43.5,44.5,50.1,Met Target†,162,92.2,67.90,53.10,54.9,66.1,52.9,Met Target,53.1,4.1,33.8,7.4,41.7
3,1345,60,BERGEN,ELMWOOD PARK,Memorial Middle School,06-08,1:1.2,19.3,100 kbps,No,N,Fiber,No,537,99.7,38.00,36.90,43.5,38,38.5,Met Target†,538,99.8,51.00,53.10,54.9,51,55,Not Met,43.8,11.8,31.8,12.3,46.8
3,1345,50,BERGEN,ELMWOOD PARK,Memorial Senior High School,09-12,1:1.2,19.3,100 kbps,No,N,Fiber,No,319,98.4,24.10,36.90,43.5,24.1,20.5,Met Target,322,98.4,45.60,53.10,54.9,45.6,59.1,Not Met,37.6,10.7,41.4,10.2,43.7
3,4470,50,BERGEN,ROCHELLE PARK TWP,Midland School #1,PK-08,1:0.6,20.0,100 kbps,No,Wireless,Fiber,No,284,96.0,46.80,46.80,43.5,46.8,50,Met Target†,284,96.0,58.40,58.40,54.9,58.4,58.8,Met Target†,49.9,6.6,29.7,13.8,19.6
3,3710,50,BERGEN,NORTHERN VALLEY REGIONAL,NORTHERN VALLEY REGIONAL HIGH SCHOOL AT DEMAREST,09-12,1:1.0,20.2,100 kbps,No,N,Fiber,No,493,97.3,69.00,68.20,43.5,69,64.5,Met Target,487,96.9,70.00,72.10,54.9,70,66.8,Met Target,59.9,0.9,5.9,28.7,1.3
3,3710,60,BERGEN,NORTHERN VALLEY REGIONAL,Northern Valley Regional High School at Old Tappan,09-12,1:0.8,20.2,100 kbps,No,N,Fiber,No,571,98.3,67.60,68.20,43.5,67.6,63,Met Target,584,96.5,73.80,72.10,54.9,73.8,65.7,Met Target,69.1,0.6,5.2,23.0,1.8
5,5890,30,BURLINGTON,WOODLAND TWP,Chatsworth Elementary School,PK-08,1:0.5,20.8,100 kbps,No,Wireless,Fiber,No,105,99.1,28.60,28.60,43.5,28.6,N,N,105,99.1,40.90,40.90,54.9,40.9,N,N,92.4,3.5,4.2,,19.4
31,4010,310,PASSAIC,PATERSON CITY,SCHOOL 28,PK-08,1:0.1,21.1,100 kbps,No,Fiber,Fiber,Yes,210,100.0,95.70,18.00,43.5,95.7,80,Met Goal,210,100.0,96.20,26.40,54.9,96.2,80,Met Goal,4.4,32.7,52.3,10.5,85.5
31,4010,20,PASSAIC,PATERSON CITY,Rosa L. Parks School of Fine and Performing Arts,09-12,1:0.4,21.1,100 kbps,No,Fiber,Fiber,Yes,137,99.3,*,18.00,43.5,*,12.2,Met Target†,137,99.3,40.80,26.40,54.9,40.8,45.7,Met Target†,1.1,40.9,57.6,0.4,70.6
31,4010,309,PASSAIC,PATERSON CITY,SCHOOL 16,PK-08,1:0.8,21.1,100 kbps,No,Fiber,Fiber,Yes,63,99.5,25.40,18.00,43.5,25.4,N,N,61,99.4,31.10,26.40,54.9,31.1,N,N,2.6,9.3,87.0,1.1,77.6
31,4010,311,PASSAIC,PATERSON CITY,SCHOOL 29,KG-04,1:0.7,21.1,100 kbps,No,Fiber,Fiber,Yes,86,98.9,27.90,18.00,43.5,27.9,28.5,Met Target†,86,98.9,37.30,26.40,54.9,37.3,36.7,Met Target,6.8,9.2,67.9,16.0,91.8
31,4010,306,PASSAIC,PATERSON CITY,SCHOOL OF BUISINESS TECHNOLOGY,09-12,1:0.3,21.1,100 kbps,No,Fiber,Fiber,Yes,294,89.5,*,18.00,43.5,*,6.8,Not Met,293,89.5,*,26.40,54.9,*,8.8,Met Target†,2.2,28.5,62.5,6.6,73.4
31,4010,308,PASSAIC,PATERSON CITY,GARRETT MORGAN ACADEMY,09-12,1:0.3,21.1,100 kbps,No,Fiber,Fiber,Yes,82,98.9,*,18.00,43.5,*,11.1,Not Met,82,98.9,19.50,26.40,54.9,19.5,19.7,Met Target†,4.9,27.4,64.6,2.4,70.1
31,4010,43,PASSAIC,PATERSON CITY,Alexander Hamilton Academy,KG-08,1:0.2,21.1,100 kbps,No,Fiber,Fiber,Yes,346,97.2,51.50,18.00,43.5,51.5,48.6,Met Target,345,97.2,62.00,26.40,54.9,62,61.7,Met Target,0.5,31.4,67.7,0.4,86.8
31,4010,305,PASSAIC,PATERSON CITY,SCHOOL OF EDUCATION AND TRAINING,09-12,1:0.2,21.1,100 kbps,No,Fiber,Fiber,Yes,273,94.8,*,18.00,43.5,*,5.2,Not Met,275,96.0,*,26.40,54.9,*,13.8,Not Met,7.9,18.9,60.2,13.0,67.3
31,4010,325,PASSAIC,PATERSON CITY,NORMAN S WEIR,KG-08,1:0.4,21.1,100 kbps,No,Fiber,Fiber,Yes,221,97.8,38.90,18.00,43.5,38.9,44.6,Not Met,222,97.8,51.30,26.40,54.9,51.3,51.5,Met Target†,2.4,50.2,47.1,0.3,68.4
31,4010,316,PASSAIC,PATERSON CITY,NEW ROBERTO CLEMENTE,06-08,1:0.5,21.1,100 kbps,No,Fiber,Fiber,Yes,553,99.7,12.10,18.00,43.5,12.1,15.4,Not Met,541,99.8,24.90,26.40,54.9,24.9,26.5,Met Target†,0.5,13.6,85.2,0.7,79.9
31,4010,47,PASSAIC,PATERSON CITY,EDWARD W KILPATRICK,PK-03,1:0.1,21.1,100 kbps,No,Fiber,Fiber,Yes,54,100.0,18.50,18.00,43.5,18.5,10.2,Met Target,51,100.0,*,26.40,54.9,*,10.3,Met Target†,2.3,40.5,56.5,0.8,87.8
31,4010,315,PASSAIC,PATERSON CITY,ROBERTO CLEMENTE,KG-05,1:0.3,21.1,100 kbps,No,Fiber,Fiber,Yes,99,100.0,51.50,18.00,43.5,51.5,51.5,Met Target,99,100.0,40.40,26.40,54.9,40.4,36.6,Met Target,0.3,14.1,85.6,,92.5
31,4010,50,PASSAIC,PATERSON CITY,SCHOOL 1,PK-05,1:0.2,21.1,100 kbps,No,Fiber,Fiber,Yes,82,93.6,43.90,18.00,43.5,43.1,55.8,Not Met,82,93.6,57.40,26.40,54.9,56.3,50.3,Met Target,1.8,49.3,48.6,0.4,75.9
31,4010,60,PASSAIC,PATERSON CITY,SCHOOL 2,KG-08,1:0.5,21.1,100 kbps,No,Fiber,Fiber,Yes,400,99.5,20.50,18.00,43.5,20.5,31.5,Not Met,397,99.5,31.00,26.40,54.9,31,40.7,Not Met,2.0,11.4,82.6,3.9,82.8
31,4010,61,PASSAIC,PATERSON CITY,URBAN LEADERSHIP ACADEMY,KG-04,1:0.4,21.1,100 kbps,No,Fiber,Fiber,Yes,45,100.0,17.80,18.00,43.5,17.8,23.1,Met Target†,45,100.0,24.40,26.40,54.9,24.4,11.1,Met Target,,56.2,43.1,0.7,83.2
31,4010,70,PASSAIC,PATERSON CITY,SCHOOL 3,KG-08,1:0.2,21.1,100 kbps,No,Fiber,Fiber,Yes,274,99.3,23.40,18.00,43.5,23.4,25.7,Met Target†,274,99.3,29.60,26.40,54.9,29.6,30.4,Met Target†,2.3,2.6,93.2,1.6,90.1
31,4010,80,PASSAIC,PATERSON CITY,"REV DR FRANK NAPIER, JR SCHOOL",02-08,1:0.6,21.1,100 kbps,No,Fiber,Fiber,Yes,346,99.7,10.10,18.00,43.5,10.1,14.4,Not Met,345,99.5,14.80,26.40,54.9,14.8,18.3,Not Met,1.5,45.5,53.0,,86.2
31,4010,90,PASSAIC,PATERSON CITY,SCHOOL 5,KG-05,1:0.4,21.1,100 kbps,No,Fiber,Fiber,Yes,330,98.5,35.70,18.00,43.5,35.7,32.3,Met Target,330,98.4,40.30,26.40,54.9,40.3,29.1,Met Target,1.8,10.9,51.5,35.6,91.3
31,4010,100,PASSAIC,PATERSON CITY,SCHOOL 6,KG-08,1:0.8,21.1,100 kbps,No,Fiber,Fiber,Yes,297,98.5,10.80,18.00,43.5,10.8,12.1,Met Target†,300,98.5,14.30,26.40,54.9,14.3,14.5,Met Target†,0.6,57.5,41.5,0.4,91.9
31,4010,35,PASSAIC,PATERSON CITY,International High School,09-12,1:0.4,21.1,100 kbps,No,Fiber,Fiber,Yes,255,97.4,17.30,18.00,43.5,17.3,14.5,Met Target,253,96.6,33.20,26.40,54.9,33.2,26.4,Met Target,3.4,28.8,63.7,3.9,78.1
31,4010,312,PASSAIC,PATERSON CITY,"DR. MARTIN LUTHER KING, JR EDUCATIONAL COMPLEX",KG-08,1:0.2,21.1,100 kbps,No,Fiber,Fiber,Yes,306,99.3,14.40,18.00,43.5,14.4,18.9,Not Met,306,99.3,20.30,26.40,54.9,20.3,20,Met Target,0.6,30.8,68.2,0.4,75.1
31,4010,2,PASSAIC,PATERSON CITY,"SCHOOL OF CULINARY ARTS, HOSPITALITY AND TOURISM",09-12,1:0.2,21.1,100 kbps,No,Fiber,Fiber,Yes,351,96.4,*,18.00,43.5,*,6.4,Not Met,352,98.1,10.00,26.40,54.9,10,19.8,Not Met,0.7,30.8,68.2,0.3,74.0
31,4010,5,PASSAIC,PATERSON CITY,SCHOOL OF EARTH AND SPACE SCIENCE,09-12,1:1.4,21.1,100 kbps,No,Fiber,Fiber,Yes,104,94.0,*,18.00,43.5,*,11.4,Not Met,109,98.3,18.30,26.40,54.9,18.3,18,Met Target,5.9,36.1,54.6,3.4,73.7
31,4010,304,PASSAIC,PATERSON CITY,"SCHOOL OF SCIENCE, TECHNOLOGY, ENGINEERING AND MATHEMATICS",09-12,1:0.4,21.1,100 kbps,No,Fiber,Fiber,Yes,311,93.6,*,18.00,43.5,*,16.3,Not Met,311,93.4,22.80,26.40,54.9,22.4,17.8,Met Target,6.6,17.4,52.0,24.0,72.5
31,4010,303,PASSAIC,PATERSON CITY,Young Mens Academy,03-06,1:1.5,21.1,100 kbps,No,Fiber,Fiber,Yes,40,100.0,*,18.00,43.5,*,N,N,40,100.0,10.00,26.40,54.9,10,11.9,Met Target†,,71.4,28.6,,85.7
31,4010,301,PASSAIC,PATERSON CITY,DON BOSCO ACADEMY,06-08,1:0.3,21.1,100 kbps,No,Fiber,Fiber,Yes,735,99.6,15.70,18.00,43.5,15.7,18.5,Not Met,690,100.0,27.70,26.40,54.9,27.7,31.2,Not Met,1.4,14.6,52.4,31.6,81.2
31,4010,300,PASSAIC,PATERSON CITY,SCHOOL 27,PK-06,1:0.3,21.1,100 kbps,No,Fiber,Fiber,Yes,451,98.8,30.80,18.00,43.5,30.8,38.3,Not Met,449,98.6,37.60,26.40,54.9,37.6,33.4,Met Target,4.5,17.4,59.1,18.8,81.2
31,4010,290,PASSAIC,PATERSON CITY,SCHOOL 26,KG-08,1:0.2,21.1,100 kbps,No,Fiber,Fiber,Yes,320,99.0,19.40,18.00,43.5,19.4,23.9,Not Met,319,99.0,34.20,26.40,54.9,34.2,33.5,Met Target,0.2,45.6,53.9,0.4,71.1
31,4010,280,PASSAIC,PATERSON CITY,SCHOOL 25,KG-08,1:0.2,21.1,100 kbps,No,Fiber,Fiber,Yes,339,100.0,24.50,18.00,43.5,24.5,28.5,Not Met,339,100.0,37.50,26.40,54.9,37.5,34.5,Met Target,19.0,7.7,73.0,0.3,83.8
31,4010,270,PASSAIC,PATERSON CITY,SCHOOL 24,PK-08,1:0.1,21.1,100 kbps,No,Fiber,Fiber,Yes,539,99.8,22.80,18.00,43.5,22.8,29.1,Not Met,539,99.8,33.80,26.40,54.9,33.8,35.9,Met Target†,0.7,8.9,89.2,1.2,80.8
31,4010,250,PASSAIC,PATERSON CITY,SCHOOL 21,PK-08,1:0.4,21.1,100 kbps,No,Fiber,Fiber,Yes,440,97.8,*,18.00,43.5,*,8,Not Met,441,98.1,11.40,26.40,54.9,11.4,13.6,Met Target†,0.4,25.8,73.3,0.5,82.3
31,4010,240,PASSAIC,PATERSON CITY,SCHOOL 20,KG-08,1:0.3,21.1,100 kbps,No,Fiber,Fiber,Yes,278,94.2,*,18.00,43.5,*,14.8,Not Met,280,95.0,16.50,26.40,54.9,16.5,18,Met Target†,1.4,45.7,52.5,0.4,69.2
31,4010,230,PASSAIC,PATERSON CITY,SCHOOL 19,KG-04,1:0.2,21.1,100 kbps,No,Fiber,Fiber,Yes,130,96.4,55.40,18.00,43.5,55.4,51.3,Met Target,126,96.3,63.50,26.40,54.9,63.5,51,Met Target,5.9,17.1,45.3,31.7,78.1
31,4010,307,PASSAIC,PATERSON CITY,SCHOOL OF ARCHITECTURE AND CONSTRUCTION TRADES,09-12,1:0.3,21.1,100 kbps,No,Fiber,Fiber,Yes,245,88.2,*,18.00,43.5,*,4.4,Not Met,247,90.1,*,26.40,54.9,*,6.1,Not Met,7.5,17.6,70.2,4.4,72.4
31,4010,190,PASSAIC,PATERSON CITY,SCHOOL 15,PK-05,1:0.3,21.1,100 kbps,No,Fiber,Fiber,Yes,219,99.7,18.30,18.00,43.5,18.3,24.8,Not Met,217,99.7,15.70,26.40,54.9,15.7,20.1,Not Met,1.3,12.1,86.3,0.3,91.4
31,4010,220,PASSAIC,PATERSON CITY,SCHOOL 18,PK-08,1:0.2,21.1,100 kbps,No,Fiber,Fiber,Yes,606,99.6,18.20,18.00,43.5,18.2,21.3,Not Met,605,99.5,25.20,26.40,54.9,25.2,26.1,Met Target†,1.6,14.1,84.1,0.1,82.4
31,4010,170,PASSAIC,PATERSON CITY,SCHOOL 13,KG-08,1:0.3,21.1,100 kbps,No,Fiber,Fiber,Yes,294,99.2,13.90,18.00,43.5,13.9,23.5,Not Met,294,99.1,21.40,26.40,54.9,21.4,27.1,Not Met,0.4,36.1,62.4,1.1,80.5
31,4010,4,PASSAIC,PATERSON CITY,School of Health Science,09-12,1:0.4,21.1,100 kbps,No,Fiber,Fiber,Yes,133,100.0,18.00,18.00,43.5,18,23.6,Not Met,132,100.0,44.70,26.40,54.9,44.7,43.4,Met Target,5.7,20.8,62.6,10.9,68.3
31,4010,3,PASSAIC,PATERSON CITY,SCHOOL OF GOVERNMENT & PUBLIC ADMINISTRATION,09-12,1:0.3,21.1,100 kbps,No,Fiber,Fiber,Yes,354,95.5,*,18.00,43.5,*,7.3,Not Met,355,96.0,10.70,26.40,54.9,10.7,15.2,Not Met,0.6,15.7,83.8,,77.7
31,4010,110,PASSAIC,PATERSON CITY,SCHOOL 7,05-08,1:0.5,21.1,100 kbps,No,Fiber,Fiber,Yes,247,97.0,15.00,18.00,43.5,15,13.6,Met Target,244,97.7,28.70,26.40,54.9,28.7,25.8,Met Target,4.3,8.9,76.7,10.1,80.6
31,4010,1,PASSAIC,PATERSON CITY,SCHOOL OF INFORMATION TECHNOLOGY,09-12,1:0.4,21.1,100 kbps,No,Fiber,Fiber,Yes,355,96.5,*,18.00,43.5,*,9.4,Not Met,356,96.3,*,26.40,54.9,*,10.1,Not Met,0.3,17.3,81.8,0.4,73.0
31,4010,180,PASSAIC,PATERSON CITY,SCHOOL 14,KG-04,1:0.1,21.1,100 kbps,No,Fiber,Fiber,Yes,74,98.9,20.30,18.00,43.5,20.3,36.1,Not Met,73,98.8,16.40,26.40,54.9,16.4,26.5,Not Met,5.9,22.9,64.8,6.4,83.1
31,4010,313,PASSAIC,PATERSON CITY,DR. HANI AWADALLAH SCHOOL,KG-08,1:0.8,21.1,100 kbps,No,Fiber,Fiber,Yes,24,99.8,*,18.00,43.5,*,N,N,17,99.8,*,26.40,54.9,*,N,N,29.6,5.6,61.5,3.3,83.9
31,4010,120,PASSAIC,PATERSON CITY,SCHOOL 8,KG-08,1:0.4,21.1,100 kbps,No,Fiber,Fiber,Yes,292,100.0,12.70,18.00,43.5,12.7,17.1,Not Met,293,100.0,12.90,26.40,54.9,12.9,13.4,Met Target†,3.5,4.7,91.4,0.4,87.9
31,4010,130,PASSAIC,PATERSON CITY,"CHARLES J RILEY, SCHOOL 9",PK-08,1:0.4,21.1,100 kbps,No,Fiber,Fiber,Yes,444,99.8,37.80,18.00,43.5,37.8,31.7,Met Target,444,99.8,43.70,26.40,54.9,43.7,43.7,Met Target,52.3,2.3,42.2,3.2,84.3
31,4010,140,PASSAIC,PATERSON CITY,SCHOOL 10,PK-08,1:0.5,21.1,100 kbps,No,Fiber,Fiber,Yes,305,99.4,10.50,18.00,43.5,10.5,18.2,Not Met,302,98.7,16.90,26.40,54.9,16.9,18.8,Met Target†,0.7,38.4,60.5,0.2,89.4
31,4010,150,PASSAIC,PATERSON CITY,Newcomers,04-08,1:0.3,21.1,100 kbps,No,Fiber,Fiber,Yes,201,99.3,*,18.00,43.5,*,N,N,173,100.0,*,26.40,54.9,*,N,N,,,100.0,,82.0
31,4010,160,PASSAIC,PATERSON CITY,SCHOOL 12,KG-08,1:0.4,21.1,100 kbps,No,Fiber,Fiber,Yes,317,100.0,*,18.00,43.5,*,10.7,Not Met,316,99.7,*,26.40,54.9,*,12,Met Target†,2.1,37.1,60.1,0.8,82.5
25,5310,60,MONMOUTH,UPPER FREEHOLD REGIONAL,Newell Elementary School,PK-04,1:0.4,21.8,100 kbps,No,N,Fiber,No,203,99.1,59.10,57.40,43.5,59.1,65.4,Not Met,201,98.6,58.70,64.70,54.9,58.7,56.9,Met Target,82.1,3.3,8.1,4.6,10.9
25,5310,50,MONMOUTH,UPPER FREEHOLD REGIONAL,Allentown High School,09-12,1:0.5,21.8,100 kbps,No,N,Fiber,No,529,98.0,52.00,57.40,43.5,52,53.6,Met Target†,552,98.5,62.30,64.70,54.9,62.3,60,Met Target,84.9,5.5,5.1,2.8,10.0
25,5310,70,MONMOUTH,UPPER FREEHOLD REGIONAL,Stonebridge Middle School,05-08,1:1.2,21.8,100 kbps,No,N,Fiber,No,483,97.9,62.50,57.40,43.5,62.5,54,Met Target,479,96.6,69.90,64.70,54.9,69.9,69.1,Met Target,89.2,2.1,3.2,4.7,6.6
9,3780,50,CAPE MAY,OCEAN CITY,Ocean City High School,09-12,1:0.2,23.8,100 kbps,No,Fiber,Fiber,Yes,458,82.5,32.80,43.00,43.5,28.5,23.2,Met Target,495,83.3,54.00,56.60,54.9,47.3,36.7,Met Target,90.5,2.0,4.1,1.2,16.7
9,3780,60,CAPE MAY,OCEAN CITY,Ocean City Intermediate School,04-08,1:0.6,23.8,100 kbps,No,Fiber,Fiber,Yes,507,94.8,48.90,43.00,43.5,48.8,48.6,Met Target,504,94.7,60.10,56.60,54.9,59.9,60.2,Met Target†,78.4,5.4,13.9,1.7,28.3
9,3780,70,CAPE MAY,OCEAN CITY,Ocean City Primary School,KG-03,1:0.8,23.8,100 kbps,No,Fiber,Fiber,Yes,95,99.0,60.00,43.00,43.5,60,62.8,Met Target†,94,98.9,52.20,56.60,54.9,52.2,55.9,Met Target†,69.2,8.5,20.9,1.4,36.4
80,6082,963,CHARTERS,Beloved Community Charter School,BelovED Community Charter School,KG-06,1:0.1,24.0,100 kbps,No,N,Fiber,No,407,99.2,41.10,41.10,43.5,41.1,38.3,Met Target,409,99.2,55.80,55.80,54.9,55.8,50.5,Met Target,12.6,33.3,27.2,20.9,69.2
13,3570,225,ESSEX,NEWARK CITY,BELMONT RUNYON ELEMENTARY SCHOOL,PK-08,1:0.6,24.5,100 kbps,No,N,Fiber,No,304,98.7,*,24.40,43.5,*,7.8,Met Target,305,98.7,11.40,31.80,54.9,11.4,16.5,Not Met,1.0,85.7,12.9,,90.2
13,3570,435,ESSEX,NEWARK CITY,GEORGE WASHINGTON CARVER ELEMENTARY SCHOOL,PK-08,1:0.4,24.5,100 kbps,No,N,Fiber,No,342,98.3,*,24.40,43.5,*,7.2,Met Target,342,98.3,16.70,31.80,54.9,16.7,11.7,Met Target,,94.6,4.8,0.2,71.2
13,3570,440,ESSEX,NEWARK CITY,DR WILLIAM H HORTON ELEMENTARY SCHOOL,PK-08,1:0.5,24.5,100 kbps,No,N,Fiber,No,496,97.3,12.70,24.40,43.5,12.7,13.1,Met Target†,471,98.7,19.70,31.80,54.9,19.7,16.9,Met Target,0.9,24.7,73.6,0.4,86.4
13,3570,455,ESSEX,NEWARK CITY,HARRIET TUBMAN ELEMENTARY SCHOOL,PK-06,1:0.4,24.5,100 kbps,No,N,Fiber,No,185,100.0,22.20,24.40,43.5,22.2,15.5,Met Target,185,98.9,23.80,31.80,54.9,23.8,23.9,Met Target†,0.8,91.0,7.9,0.3,73.3
13,3570,460,ESSEX,NEWARK CITY,HAWKINS STREET SCHOOL,PK-08,1:0.3,24.5,100 kbps,No,N,Fiber,No,426,99.1,20.70,24.40,43.5,20.7,18.2,Met Target,406,99.3,20.60,31.80,54.9,20.6,19.9,Met Target,18.8,23.2,57.4,0.3,92.9
13,3570,470,ESSEX,NEWARK CITY,HAWTHORNE AVENUE SCHOOL,PK-08,1:0.3,24.5,100 kbps,No,N,Fiber,No,240,97.6,16.70,24.40,43.5,16.7,12.6,Met Target,240,97.6,18.00,31.80,54.9,18,17.8,Met Target,0.2,91.5,7.8,,84.1
13,3570,480,ESSEX,NEWARK CITY,LAFAYETTE STREET SCHOOL,PK-08,1:0.2,24.5,100 kbps,No,N,Fiber,No,705,98.5,47.80,24.40,43.5,47.8,47.6,Met Target,649,98.8,52.20,31.80,54.9,52.2,52.5,Met Target†,21.6,1.6,76.0,0.3,84.6
13,3570,490,ESSEX,NEWARK CITY,LINCOLN,PK-08,1:0.3,24.5,100 kbps,No,N,Fiber,No,295,99.3,13.90,24.40,43.5,13.9,12.9,Met Target,297,99.3,24.90,31.80,54.9,24.9,21.1,Met Target,0.2,95.6,3.9,,77.9
13,3570,495,ESSEX,NEWARK CITY,LOUISE A SPENCER ELEMENTARY SCHOOL,PK-08,1:1.1,24.5,100 kbps,No,N,Fiber,No,227,94.6,15.40,24.40,43.5,15.3,16.2,Met Target†,230,95.4,21.30,31.80,54.9,21.3,18.7,Met Target,0.3,80.8,17.1,0.3,92.3
13,3570,520,ESSEX,NEWARK CITY,MCKINLEY,PK-08,1:0.4,24.5,100 kbps,No,N,Fiber,No,496,100.0,25.40,24.40,43.5,25.4,24.9,Met Target,478,99.6,31.80,31.80,54.9,31.8,30.1,Met Target,2.6,38.9,58.2,0.2,92.5
13,3570,530,ESSEX,NEWARK CITY,MILLER STREET SCHOOL AT SPENCER,PK-08,1:0.1,24.5,100 kbps,No,N,Fiber,No,299,100.0,19.40,24.40,43.5,19.4,17.6,Met Target,272,100.0,28.00,31.80,54.9,28,25.2,Met Target,1.9,46.6,51.3,0.2,86.7
13,3570,565,ESSEX,NEWARK CITY,IVY HILL ELEMENTARY SCHOOL,PK-08,1:0.3,24.5,100 kbps,No,N,Fiber,No,361,98.9,13.60,24.40,43.5,13.6,15.5,Met Target†,354,98.9,35.30,31.80,54.9,35.3,31.9,Met Target,0.5,89.5,8.6,0.7,76.3
13,3570,570,ESSEX,NEWARK CITY,MT VERNON PLACE SCHOOL,PK-08,1:0.2,24.5,100 kbps,No,N,Fiber,No,497,97.6,47.30,24.40,43.5,47.3,46,Met Target,483,99.0,43.90,31.80,54.9,43.9,50.9,Not Met,1.8,52.8,30.1,9.7,74.3
13,3570,575,ESSEX,NEWARK CITY,RAFAEL HERNANDEZ SCHOOL,PK-08,1:0.5,24.5,100 kbps,No,N,Fiber,No,571,98.8,12.80,24.40,43.5,12.8,11,Met Target,556,98.8,19.60,31.80,54.9,19.6,20.1,Met Target†,1.9,22.7,75.3,0.1,93.9
13,3570,581,ESSEX,NEWARK CITY,PARK ELEMENTARY SCHOOL,PK-08,1:0.3,24.5,100 kbps,No,N,Fiber,No,498,93.8,46.60,24.40,43.5,46,37.4,Met Target,495,94.1,56.40,31.80,54.9,55.8,53.4,Met Target,2.9,16.0,80.3,0.7,85.0
